GEIST-V4-MIB,,,,
,,,,
OID name,OID,access,type,units
,,,,
General System Information OIDs,,,,
sysDescr,1.3.6.1.2.1.1.1,read only,DisplayString,
sysObjectID,1.3.6.1.2.1.1.2,read only,OBJECT IDENTIFIER,
sysUpTime,1.3.6.1.2.1.1.3,read only,TimeTicks,
sysContact,1.3.6.1.2.1.1.4,read only,DisplayString,
sysName,1.3.6.1.2.1.1.5,read only,DisplayString,
sysLocation,1.3.6.1.2.1.1.6,read only,DisplayString,
sysServices,1.3.6.1.2.1.1.7,read only,INTEGER(1..100),
,,,,
General Device Information OIDs,,,,
deviceInfo,1.3.6.1.4.1.21239.5.1.1,no-access,other,
productTitle,1.3.6.1.4.1.21239.5.1.1.1,read-only,DisplayString,
productVersion,1.3.6.1.4.1.21239.5.1.1.2,read-only,DisplayString,
productFriendlyName,1.3.6.1.4.1.21239.5.1.1.3,read-only,DisplayString,
productMacAddress,1.3.6.1.4.1.21239.5.1.1.4,read-only,OCTET STRING,
productUrl,1.3.6.1.4.1.21239.5.1.1.5,read-only,IpAddress,
deviceCount,1.3.6.1.4.1.21239.5.1.1.6,read-only,Integer32(0..100),
temperatureUnits,1.3.6.1.4.1.21239.5.1.1.7,read-write,Integer32(0..1),
,,,,
Internal sensors for units,,,,
internalTable,1.3.6.1.4.1.21239.5.1.2,no-access,other,
InternalEntry,1.3.6.1.4.1.21239.5.1.2.1,no-access,other,
internalIndex,1.3.6.1.4.1.21239.5.1.2.1.1,read-only,Integer32(1..100),
internalSerial,1.3.6.1.4.1.21239.5.1.2.1.2,read-only,DisplayString,
internalName,1.3.6.1.4.1.21239.5.1.2.1.3,read-only,DisplayString,
internalAvail,1.3.6.1.4.1.21239.5.1.2.1.4,read-only,Gauge32,
internalTemp,1.3.6.1.4.1.21239.5.1.2.1.5,read-only,Integer32(-40..200),0.1 Degrees
internalHumidity,1.3.6.1.4.1.21239.5.1.2.1.6,read-only,Integer32(0..100),%
internalDewPoint,1.3.6.1.4.1.21239.5.1.2.1.7,read-only,Integer32(-40..200),0.1 Degrees
,,,,
Remote Temperature Sensor,,,,
tempSensorTable,1.3.6.1.4.1.21239.5.1.4,no-access,other,
TempSensorEntry,1.3.6.1.4.1.21239.5.1.4.1,no-access,other,
tempSensorIndex,1.3.6.1.4.1.21239.5.1.4.1.1,read-only,Integer32(1..100),
tempSensorSerial,1.3.6.1.4.1.21239.5.1.4.1.2,read-only,DisplayString,
tempSensorName,1.3.6.1.4.1.21239.5.1.4.1.3,read-only,DisplayString,
tempSensorAvail,1.3.6.1.4.1.21239.5.1.4.1.4,read-only,Gauge32,
tempSensorTemp,1.3.6.1.4.1.21239.5.1.4.1.5,read-only,Integer32(-40..200),0.1 Degrees
,,,,
Remote Airflow, Humidity, Temperature and Dewpoint Sensor ,,,,
airFlowSensorTable,1.3.6.1.4.1.21239.5.1.5,no-access,other,
AirFlowSensorEntry,1.3.6.1.4.1.21239.5.1.5.1,no-access,other,
airFlowSensorIndex,1.3.6.1.4.1.21239.5.1.5.1.1,read-only,Integer32(1..100),
airFlowSensorSerial,1.3.6.1.4.1.21239.5.1.5.1.2,read-only,DisplayString,
airFlowSensorName,1.3.6.1.4.1.21239.5.1.5.1.3,read-only,DisplayString,
airFlowSensorAvail,1.3.6.1.4.1.21239.5.1.5.1.4,read-only,Gauge32,
airFlowSensorTemp,1.3.6.1.4.1.21239.5.1.5.1.5,read-only,Integer32(-40..200),0.1 Degrees
airFlowSensorFlow,1.3.6.1.4.1.21239.5.1.5.1.6,read-only,Integer32(0..100),
airFlowSensorHumidity,1.3.6.1.4.1.21239.5.1.5.1.7,read-only,Integer32(0..100),%
airFlowSensorDewPoint,1.3.6.1.4.1.21239.5.1.5.1.8,read-only,Integer32(-40..200),0.1 Degrees
,,,,
Remote Dew Point sensor,,,,
dewPointSensorTable,1.3.6.1.4.1.21239.5.1.6,no-access,other,
DewPointSensorEntry,1.3.6.1.4.1.21239.5.1.6.1,no-access,other,
dewPointSensorIndex,1.3.6.1.4.1.21239.5.1.6.1.1,read-only,Integer32(1..100),
dewPointSensorSerial,1.3.6.1.4.1.21239.5.1.6.1.2,read-only,DisplayString,
dewPointSensorName,1.3.6.1.4.1.21239.5.1.6.1.3,read-only,DisplayString,
dewPointSensorAvail,1.3.6.1.4.1.21239.5.1.6.1.4,read-only,Gauge32,
dewPointSensorTemp,1.3.6.1.4.1.21239.5.1.6.1.5,read-only,Integer32(-40..200),0.1 Degrees
dewPointSensorHumidity,1.3.6.1.4.1.21239.5.1.6.1.6,read-only,Integer32(0..100),%
dewPointSensorDewPoint,1.3.6.1.4.1.21239.5.1.6.1.7,read-only,Integer32(-40..200),0.1 Degrees
,,,,
Remote CCAT sensor,,,,
ccatSensorTable,1.3.6.1.4.1.21239.5.1.7,no-access,other,
CcatSensorEntry,1.3.6.1.4.1.21239.5.1.7.1,no-access,other,
ccatSensorIndex,1.3.6.1.4.1.21239.5.1.7.1.1,read-only,Integer32(1..100),
ccatSensorSerial,1.3.6.1.4.1.21239.5.1.7.1.2,read-only,DisplayString,
ccatSensorName,1.3.6.1.4.1.21239.5.1.7.1.3,read-only,DisplayString,
ccatSensorAvail,1.3.6.1.4.1.21239.5.1.7.1.4,read-only,Gauge32,
ccatSensorValue,1.3.6.1.4.1.21239.5.1.7.1.5,read-only,Integer32(-100..5000),
ccatSensorType,1.3.6.1.4.1.21239.5.1.7.1.6,read-only,DisplayString,
ccatSensorDescription,1.3.6.1.4.1.21239.5.1.7.1.7,read-only,DisplayString,
,,,,
Remote Temperature x 3, Humidity and Dewpoint Sensor,,,,
t3hdSensorTable,1.3.6.1.4.1.21239.5.1.8,no-access,other,
T3hdSensorEntry,1.3.6.1.4.1.21239.5.1.8.1,no-access,other,
t3hdSensorIndex,1.3.6.1.4.1.21239.5.1.8.1.1,read-only,Integer32(1..100),
t3hdSensorSerial,1.3.6.1.4.1.21239.5.1.8.1.2,read-only,DisplayString,
t3hdSensorName,1.3.6.1.4.1.21239.5.1.8.1.3,read-only,DisplayString,
t3hdSensorAvail,1.3.6.1.4.1.21239.5.1.8.1.4,read-only,Gauge32,
t3hdSensorIntName,1.3.6.1.4.1.21239.5.1.8.1.5,read-only,DisplayString,
t3hdSensorIntTemp,1.3.6.1.4.1.21239.5.1.8.1.6,read-only,Integer32(-40..200),0.1 Degrees
t3hdSensorIntHumidity,1.3.6.1.4.1.21239.5.1.8.1.7,read-only,Integer32(0..100),%
t3hdSensorIntDewPoint,1.3.6.1.4.1.21239.5.1.8.1.8,read-only,Integer32(-40..200),0.1 Degrees
t3hdSensorExtAAvail,1.3.6.1.4.1.21239.5.1.8.1.9,read-only,Gauge32,
t3hdSensorExtAName,1.3.6.1.4.1.21239.5.1.8.1.10,read-only,DisplayString,
t3hdSensorExtATemp,1.3.6.1.4.1.21239.5.1.8.1.11,read-only,Integer32(-40..200),0.1 Degrees
t3hdSensorExtBAvail,1.3.6.1.4.1.21239.5.1.8.1.12,read-only,Gauge32,
t3hdSensorExtBName,1.3.6.1.4.1.21239.5.1.8.1.13,read-only,DisplayString,
t3hdSensorExtBTemp,1.3.6.1.4.1.21239.5.1.8.1.14,read-only,Integer32(-40..200),0.1 Degrees
,,,,
Remote Temperature, Humidity and Dewpoint Sensor,,,,
thdSensorTable,1.3.6.1.4.1.21239.5.1.9,no-access,other,
ThdSensorEntry,1.3.6.1.4.1.21239.5.1.9.1,no-access,other,
thdSensorIndex,1.3.6.1.4.1.21239.5.1.9.1.1,read-only,Integer32(1..100),
thdSensorSerial,1.3.6.1.4.1.21239.5.1.9.1.2,read-only,DisplayString,
thdSensorName,1.3.6.1.4.1.21239.5.1.9.1.3,read-only,DisplayString,
thdSensorAvail,1.3.6.1.4.1.21239.5.1.9.1.4,read-only,Gauge32,
thdSensorTemp,1.3.6.1.4.1.21239.5.1.9.1.5,read-only,Integer32(-40..200),0.1 Degrees
thdSensorHumidity,1.3.6.1.4.1.21239.5.1.9.1.6,read-only,Integer32(0..100),%
thdSensorDewPoint,1.3.6.1.4.1.21239.5.1.9.1.7,read-only,Integer32(-40..200),0.1 Degrees
,,,,
Remote Power Manager Sensor,,,,
rpmSensorTable,1.3.6.1.4.1.21239.5.1.10,no-access,other,
RpmSensorEntry,1.3.6.1.4.1.21239.5.1.10.1,no-access,other,
rpmSensorIndex,1.3.6.1.4.1.21239.5.1.10.1.1,read-only,Integer32(1..100),
rpmSensorSerial,1.3.6.1.4.1.21239.5.1.10.1.2,read-only,DisplayString,
rpmSensorName,1.3.6.1.4.1.21239.5.1.10.1.3,read-only,DisplayString,
rpmSensorAvail,1.3.6.1.4.1.21239.5.1.10.1.4,read-only,Gauge32,
rpmSensorEnergy,1.3.6.1.4.1.21239.5.1.10.1.5,read-only,Gauge32,kWh
rpmSensorVoltage,1.3.6.1.4.1.21239.5.1.10.1.6,read-only,Gauge32,Volts (rms)
rpmSensorVoltageMax,1.3.6.1.4.1.21239.5.1.10.1.7,read-only,Gauge32,Volts (rms)
rpmSensorVoltageMin,1.3.6.1.4.1.21239.5.1.10.1.8,read-only,Gauge32,Volts (rms)
rpmSensorVoltagePeak,1.3.6.1.4.1.21239.5.1.10.1.9,read-only,Gauge32,Volts
rpmSensorCurrent,1.3.6.1.4.1.21239.5.1.10.1.10,read-only,Gauge32,0.1 Amps (rms)
rpmSensorRealPower,1.3.6.1.4.1.21239.5.1.10.1.11,read-only,Gauge32,Watts
rpmSensorApparentPower,1.3.6.1.4.1.21239.5.1.10.1.12,read-only,Gauge32,Volt-Amps
rpmSensorPowerFactor,1.3.6.1.4.1.21239.5.1.10.1.13,read-only,Gauge32,%
rpmSensorOutlet1,1.3.6.1.4.1.21239.5.1.10.1.14,read-only,Gauge32,
rpmSensorOutlet2,1.3.6.1.4.1.21239.5.1.10.1.15,read-only,Gauge32,
,,,,
Analog Measurement Sensor (Voltage, Current, or Dry Contact),,,,
a2dSensorTable,1.3.6.1.4.1.21239.5.1.11,no-access,other,
A2DSensorEntry,1.3.6.1.4.1.21239.5.1.11.1,no-access,other,
a2dSensorIndex,1.3.6.1.4.1.21239.5.1.11.1.1,read-only,Integer32(1..100),
a2dSensorSerial,1.3.6.1.4.1.21239.5.1.11.1.2,read-only,DisplayString,
a2dSensorName,1.3.6.1.4.1.21239.5.1.11.1.3,read-only,DisplayString,
a2dSensorAvail,1.3.6.1.4.1.21239.5.1.11.1.4,read-only,Gauge32,
a2dSensorValue,1.3.6.1.4.1.21239.5.1.11.1.5,read-only,Integer32(-1000000..1000000),
,,,,
,,,,
Notify Name, Enterprise OID, General Notify Number, Specific Notify Number,
,,,,
Notify Information,,,,
,,,,
internalTestNOTIFY,1.3.6.1.4.1.21239.5.1.32767,6,10101,
,,,,
,,,,
internalAvailNOTIFY,1.3.6.1.4.1.21239.5.1.32767,6,10204,
internalAvailCLEAR,1.3.6.1.4.1.21239.5.1.32767,6,20204,
internalTempNOTIFY,1.3.6.1.4.1.21239.5.1.32767,6,10205,
internalTempCLEAR,1.3.6.1.4.1.21239.5.1.32767,6,20205,
internalHumidityNOTIFY,1.3.6.1.4.1.21239.5.1.32767,6,10206,
internalHumidityCLEAR,1.3.6.1.4.1.21239.5.1.32767,6,20206,
internalDewPointNOTIFY,1.3.6.1.4.1.21239.5.1.32767,6,10207,
internalDewPointCLEAR,1.3.6.1.4.1.21239.5.1.32767,6,20207,
,,,,
tempSensorAvailNOTIFY,1.3.6.1.4.1.21239.5.1.32767,6,10404,
tempSensorAvailCLEAR,1.3.6.1.4.1.21239.5.1.32767,6,20404,
tempSensorTempNOTIFY,1.3.6.1.4.1.21239.5.1.32767,6,10405,
tempSensorTempCLEAR,1.3.6.1.4.1.21239.5.1.32767,6,20405,
,,,,
airFlowSensorAvailNOTIFY,1.3.6.1.4.1.21239.5.1.32767,6,10504,
airFlowSensorAvailCLEAR,1.3.6.1.4.1.21239.5.1.32767,6,20504,
airFlowSensorTempNOTIFY,1.3.6.1.4.1.21239.5.1.32767,6,10505,
airFlowSensorTempCLEAR,1.3.6.1.4.1.21239.5.1.32767,6,20505,
airFlowSensorFlowNOTIFY,1.3.6.1.4.1.21239.5.1.32767,6,10506,
airFlowSensorFlowCLEAR,1.3.6.1.4.1.21239.5.1.32767,6,20506,
airFlowSensorHumidityNOTIFY,1.3.6.1.4.1.21239.5.1.32767,6,10507,
airFlowSensorHumidityCLEAR,1.3.6.1.4.1.21239.5.1.32767,6,20507,
airFlowSensorDewPointNOTIFY,1.3.6.1.4.1.21239.5.1.32767,6,10508,
airFlowSensorDewPointCLEAR,1.3.6.1.4.1.21239.5.1.32767,6,20508,
,,,,
dewPointSensorAvailNOTIFY,1.3.6.1.4.1.21239.5.1.32767,6,10604,
dewPointSensorAvailCLEAR,1.3.6.1.4.1.21239.5.1.32767,6,20604,
dewPointSensorTempNOTIFY,1.3.6.1.4.1.21239.5.1.32767,6,10605,
dewPointSensorTempCLEAR,1.3.6.1.4.1.21239.5.1.32767,6,20605,
dewPointSensorHumidityNOTIFY,1.3.6.1.4.1.21239.5.1.32767,6,10606,
dewPointSensorHumidityCLEAR,1.3.6.1.4.1.21239.5.1.32767,6,20606,
dewPointSensorDewPointNOTIFY,1.3.6.1.4.1.21239.5.1.32767,6,10607,
dewPointSensorDewPointCLEAR,1.3.6.1.4.1.21239.5.1.32767,6,20607,
,,,,
ccatSensorAvailNOTIFY,1.3.6.1.4.1.21239.5.1.32767,6,10704,
ccatSensorAvailCLEAR,1.3.6.1.4.1.21239.5.1.32767,6,20704,
ccatSensorValueNOTIFY,1.3.6.1.4.1.21239.5.1.32767,6,10705,
ccatSensorValueCLEAR,1.3.6.1.4.1.21239.5.1.32767,6,20705,
,,,,
t3hdSensorAvailNOTIFY,1.3.6.1.4.1.21239.5.1.32767,6,10804,
t3hdSensorAvailCLEAR,1.3.6.1.4.1.21239.5.1.32767,6,20804,
t3hdSensorIntTempNOTIFY,1.3.6.1.4.1.21239.5.1.32767,6,10806,
t3hdSensorIntTempCLEAR,1.3.6.1.4.1.21239.5.1.32767,6,20806,
t3hdSensorIntHumidityNOTIFY,1.3.6.1.4.1.21239.5.1.32767,6,10807,
t3hdSensorIntHumidityCLEAR,1.3.6.1.4.1.21239.5.1.32767,6,20807,
t3hdSensorIntDewPointNOTIFY,1.3.6.1.4.1.21239.5.1.32767,6,10808,
t3hdSensorIntDewPointCLEAR,1.3.6.1.4.1.21239.5.1.32767,6,20808,
t3hdSensorExtATempNOTIFY,1.3.6.1.4.1.21239.5.1.32767,6,10811,
t3hdSensorExtATempCLEAR,1.3.6.1.4.1.21239.5.1.32767,6,20811,
t3hdSensorExtBTempNOTIFY,1.3.6.1.4.1.21239.5.1.32767,6,10814,
t3hdSensorExtBTempCLEAR,1.3.6.1.4.1.21239.5.1.32767,6,20814,
,,,,
thdSensorAvailNOTIFY,1.3.6.1.4.1.21239.5.1.32767,6,10904,
thdSensorAvailCLEAR,1.3.6.1.4.1.21239.5.1.32767,6,20904,
thdSensorTempNOTIFY,1.3.6.1.4.1.21239.5.1.32767,6,10905,
thdSensorTempCLEAR,1.3.6.1.4.1.21239.5.1.32767,6,20905,
thdSensorHumidityNOTIFY,1.3.6.1.4.1.21239.5.1.32767,6,10906,
thdSensorHumidityCLEAR,1.3.6.1.4.1.21239.5.1.32767,6,20906,
thdSensorDewPointNOTIFY,1.3.6.1.4.1.21239.5.1.32767,6,10907,
thdSensorDewPointCLEAR,1.3.6.1.4.1.21239.5.1.32767,6,20907,
,,,,
rpmSensorAvailNOTIFY,1.3.6.1.4.1.21239.5.1.32767,6,11004,
rpmSensorAvailCLEAR,1.3.6.1.4.1.21239.5.1.32767,6,21004,
rpmSensorEnergyNOTIFY,1.3.6.1.4.1.21239.5.1.32767,6,11005,
rpmSensorEnergyCLEAR,1.3.6.1.4.1.21239.5.1.32767,6,21005,
rpmSensorVoltageNOTIFY,1.3.6.1.4.1.21239.5.1.32767,6,11006,
rpmSensorVoltageCLEAR,1.3.6.1.4.1.21239.5.1.32767,6,21006,
rpmSensorVoltageMaxNOTIFY,1.3.6.1.4.1.21239.5.1.32767,6,11007,
rpmSensorVoltageMaxCLEAR,1.3.6.1.4.1.21239.5.1.32767,6,21007,
rpmSensorVoltageMinNOTIFY,1.3.6.1.4.1.21239.5.1.32767,6,11008,
rpmSensorVoltageMinCLEAR,1.3.6.1.4.1.21239.5.1.32767,6,21008,
rpmSensorVoltagePeakNOTIFY,1.3.6.1.4.1.21239.5.1.32767,6,11009,
rpmSensorVoltagePeakCLEAR,1.3.6.1.4.1.21239.5.1.32767,6,21009,
rpmSensorCurrentNOTIFY,1.3.6.1.4.1.21239.5.1.32767,6,11010,
rpmSensorCurrentCLEAR,1.3.6.1.4.1.21239.5.1.32767,6,21010,
rpmSensorRealPowerNOTIFY,1.3.6.1.4.1.21239.5.1.32767,6,11011,
rpmSensorRealPowerCLEAR,1.3.6.1.4.1.21239.5.1.32767,6,21011,
rpmSensorApparentPowerNOTIFY,1.3.6.1.4.1.21239.5.1.32767,6,11012,
rpmSensorApparentPowerCLEAR,1.3.6.1.4.1.21239.5.1.32767,6,21012,
rpmSensorPowerFactorNOTIFY,1.3.6.1.4.1.21239.5.1.32767,6,11013,
rpmSensorPowerFactorCLEAR,1.3.6.1.4.1.21239.5.1.32767,6,21013,
,,,,
a2dSensorAvailNOTIFY,1.3.6.1.4.1.21239.5.1.32767,6,11104,
a2dSensorAvailCLEAR,1.3.6.1.4.1.21239.5.1.32767,6,21104,
a2dSensorValueNOTIFY,1.3.6.1.4.1.21239.5.1.32767,6,11105,
a2dSensorValueCLEAR,1.3.6.1.4.1.21239.5.1.32767,6,21105,
,,,,
